cell_id,group,cluster,c_gini,hcluster,e_PC1,e_PC2,e_TSNE1,e_TSNE2,e_UMAP1,e_UMAP2
SRR053668,D,1,0.162,1,-47.77203183889418,20.134116200056088,-1.5645674,-6.3141656,5.89268,-3.4714994
SRR053669,D,1,0.1032,1,-30.97050252292566,18.58623604157205,-1.2049832,-4.5130477,5.204244,-1.8877158
SRR053670,D,1,0.1526,1,-29.71230165985328,18.035226146844806,-3.1380491,-5.3518515,6.293343,-4.306158
SRR053672,D,1,0.1466,1,-36.3033288227249,18.652063363284025,-1.6374316,-2.9270308,5.856166,-1.9503316
SRR053673,D,1,0.1354,1,-31.37417455608218,18.541088250679362,-0.40391174,-5.8468256,5.471102,-2.649363
SRR053674,D,1,0.1688,1,-31.73073296872051,19.02867643078144,-0.7492832,-2.9688675,5.204952,-1.4285451
SRR053675,D,1,0.1162,1,-27.842601588215082,21.40182314704089,-3.11583,-3.814935,6.120929,-3.7567768
SRR089377,D,1,0.0824,1,-30.889967210360933,18.626378304410018,-0.04323888,-4.717315,4.6685658,-2.1782086
SRR089378,D,1,0.0858,1,-30.978963322940746,18.55826717046034,-2.1395097,-4.795783,6.2595406,-4.0808234
SRR089379,D,1,0.0862,1,-30.940262855479677,18.601243514761784,-1.7410145,-4.482825,5.7571483,-2.8388367
SRR089397,D,1,0.0756,1,-30.953804406687013,18.5856801740474,-1.7399921,-4.595926,5.802357,-3.0768216
